Analog register    1:   16.6 °C   Supply temperature (Air/Ground); Remarks: Depending on source type
Integer register 5102:      4 YY   Heatpump set current year; Remarks: Before altering set COIL 98 to 1
Integer register 5103:     60 Min  Daylight Savingtime transition time; Remarks: 
Integer register 5104:      0 -    Daylight Savingtime Start on; Remarks: 0:Last |  1:First |  2:Second |  3:Third |  4:Fourth
Integer register 5105:      7 D    Daylight Savingtime Start on Day; Remarks: 0:- | 1:Monday |  2:Tuesday |  3:Wednesday |  4:Thursday |  5:Friday |  6:Saturday |  7: Sunday
Integer register 5106:      3 M    Daylight Savingtime Start on Month; Remarks: 0:- Months 1 to 12
Integer register 5107:      2 H    Daylight Savingtime Start at Hour; Remarks: 
Integer register 5108:      0 -    Daylight Savingtime Ends on; Remarks: 0:Last |  1:First |  2:Second |  3:Third |  4:Fourth
Integer register 5109:      7 D    Daylight Savingtime Ends on Day; Remarks: 0:- | 1:Monday |  2:Tuesday |  3:Wednesday |  4:Thursday |  5:Friday |  6:Saturday |  7: Sunday
Integer register 5110:     10 M    Daylight Savingtime Ends on Month; Remarks: 0:- Months 1 to 12
Integer register 5111:      3 H    Daylight Savingtime Ends at Hour; Remarks: 
Integer register 5112:      0 -    Roomterminal SG 3 Interior Compensation _2; Remarks: 
Integer register 5113:      0 °C   Heating set temperature SG 3; Remarks: 
Integer register 5114:      1 -    Roomterminal SG 4 Interior Compensation _1; Remarks: 
Integer register 5119:      0 H    Floor drying  phase 1 time; Remarks: 
Integer register 5120:      0 H    Floor drying  phase 2 time; Remarks: 
Integer register 5121:      0 H    Floor drying  phase 3 time; Remarks: 
Integer register 5122:      0 H    Floor drying  phase 4 time; Remarks: 
Integer register 5123:      0 H    Floor drying  phase 5 time; Remarks: 
Integer register 5124:      0 H    Floor drying  phase 6 time; Remarks: 
Integer register 5126:     30 Min  Aerothermal Max time; Remarks: 
Integer register 5127:      0 H    Heatpump night time start hour; Remarks: 
Integer register 5128:      0 Min  Heatpump night time start minutes; Remarks: 
Integer register 5129:      0 H    Heatpump night time end hour; Remarks: 
Integer register 5130:      0 Min  Heatpump night time end minutes; Remarks: 
Integer register 5131:     20 %    Hybrid system  Captation min Air; Remarks: 
Integer register 5132:     20 %    Hybrid system  Captation min Ground; Remarks: 
Integer register 5133:      0 -    Pool Connection; Remarks: 0=Heating system |  1=DHW system
Integer register 5139:      0 Min  DHW Legionella treatment TIME; Remarks: 
Integer register 5140:      2 int  Heating group DG 1 Heat curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5141:      2 int  Heating group SG 2 Heat curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5143:      0 -    Heatpump Source Type; Remarks: 0=Geothermal |  1=Aerothermal |  2= Hybrid system
Integer register 5144:      0 -    Condensation energy-January; Remarks: 
Integer register 5145:      0 -    Condensation energy-February; Remarks: 
Integer register 5146:      0 -    Condensation energy-March; Remarks: 
Integer register 5147:      0 -    Condensation energy-April; Remarks: 
Integer register 5148:      0 -    Condensation energy-May; Remarks: 
Integer register 5149:      0 -    Condensation energy-June; Remarks: 
Integer register 5150:      0 -    Condensation energy-July; Remarks: 
Integer register 5151:      0 -    Condensation energy-August; Remarks: 
Integer register 5152:      0 -    Condensation energy-September; Remarks: 
Integer register 5153:    129 -    Condensation energy-October; Remarks: 
Integer register 5154:      0 -    Condensation energy-November; Remarks: 
Integer register 5155:      0 -    Condensation energy-December; Remarks: 
Integer register 5156:      0 -    Evaporation energy-January; Remarks: 
Integer register 5157:      0 -    Evaporation energy-February; Remarks: 
Integer register 5158:      0 -    Evaporation energy-March; Remarks: 
Integer register 5159:      0 -    Evaporation energy-April; Remarks: 
Integer register 5160:      0 -    Evaporation energy-May; Remarks: 
Integer register 5161:      0 -    Evaporation energy-June; Remarks: 
Integer register 5162:      0 -    Evaporation energy-July; Remarks: 
Integer register 5163:      0 -    Evaporation energy-August; Remarks: 
Integer register 5164:      0 -    Evaporation energy-September; Remarks: 
Integer register 5165:      0 -    Evaporation energy-October; Remarks: 
Integer register 5166:      0 -    Evaporation energy-November; Remarks: 
Integer register 5167:      0 -    Evaporation energy-December; Remarks: 
Integer register 5168:      0 -    Electrical consumption-January; Remarks: 
Integer register 5169:      0 -    Electrical consumption-February; Remarks: 
Integer register 5170:      0 -    Electrical consumption-March; Remarks: 
Integer register 5171:      0 -    Electrical consumption-April; Remarks: 
Integer register 5172:      0 -    Electrical consumption-May; Remarks: 
Integer register 5173:      0 -    Electrical consumption-June; Remarks: 
Integer register 5174:      0 -    Electrical consumption-July; Remarks: 
Integer register 5175:      0 -    Electrical consumption-August; Remarks: 
Integer register 5176:      0 -    Electrical consumption-September; Remarks: 
Integer register 5177:     26 -    Electrical consumption-October; Remarks: 
Integer register 5178:      0 -    Electrical consumption-November; Remarks: 
Integer register 5179:      0 -    Electrical consumption-December; Remarks: 
Integer register 5180:      5 H    winter/zomer switch _time to change in hours; Remarks: 
Integer register 5181:      1 -    Roomterminal DG 1 Interior Compensation _1; Remarks: 
Integer register 5182:      0 -    Roomterminal DG 1 Interior Compensation _2; Remarks: 
Integer register 5183:      1 -    Roomterminal SG 2 Interior Compensation _1; Remarks: 
Integer register 5184:      0 -    Roomterminal SG 2 Interior Compensation _2; Remarks: 
Integer register 5185:      0 W    Energy meter - Useful cool power; Remarks: 
Integer register 5191:     11 -    Heatpump Alarm type; Remarks: ** Min Max range on Tab Alarms
Integer register 5193:    183 -    Heatpump Alarm "78"; Remarks: 
Integer register 5194:    187 -    Heatpump Alarm "79"; Remarks: 
Integer register 5195:    176 -    Heatpump Alarm "80"; Remarks: 
Integer register 5196:    196 -    Heatpump Alarm "81"; Remarks: 
Integer register 5197:     67 -    Heatpump Alarm "82"; Remarks: 
Integer register 5198:     65 -    Heatpump Alarm "83"; Remarks: 
Integer register 5199:      0 -    Heatpump Alarm "84"; Remarks: 
Integer register 5200:      0 -    Heatpump Alarm "85"; Remarks: 
Integer register 5201:      0 -    Heatpump Alarm type 2??; Remarks: ** Min Max range on Tab Alarms
Integer register 5203:      0 -    Heatpump Alarm log / reset log; Remarks: 
Integer register 5205:      0 -    Roomterminal SG 4 Interior Compensation _2; Remarks: 
Integer register 5206:      0 °C   Heating set temperature SG 4; Remarks: /10
Integer register 5207:      0 -    SG 3 - Cooling Terminal; Remarks: 0=vvw |  1=fancoil |  2=radiators
Integer register 5208:      0 -    SG 4 - Cooling Terminal; Remarks: 0=vvw |  1=fancoil |  2=radiators
Integer register 5209:      0 %    Heating / Cooling Reg. Valve SG 3; Remarks: /10
Integer register 5210:      0 %    Heating / Cooling Reg. Valve SG 2; Remarks: /10
Integer register 5211:      0 %    Heating / Cooling Reg. Valve SG 4; Remarks: /10
Integer register 5212:      2 int  Heating group SG 3 Heat curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5213:      2 int  Heating group SG 4 Heat curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5214:      0 -    SG3; Remarks: 0=vvw |  1=fancoil |  2=radiators
Integer register 5215:      0 -    SG4; Remarks: 0=vvw |  1=fancoil |  2=radiators
Integer register 5216:      2 -    Cooling group DG 1 Cooling curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5217:      2 -    Cooling group SG 2 Cooling curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5218:      2 -    Cooling group SG 3 Cooling curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5219:      2 -    Cooling groupSG 4 Cooling curve +/-; Remarks:  0=-4.0°C |  1=-2.0°C | 0=0.0°C | 3=+2.0°C | 4=+4.0°C
Integer register 5221:      0 -    Working program by BUS; Remarks: 
Integer register 5222:      0 -    BUS DHW demand; Remarks: 
Integer register 5223:      0 -    BUS Pool demand; Remarks: 
Integer register 5224:      0 -    BUS DG1 demand; Remarks: 
Integer register 5225:      0 -    BUS SG2 demand; Remarks: 
Integer register 5226:      0 -    BUS SG3 demand; Remarks: 
Integer register 5227:      0 -    BUS SG4 demand; Remarks: 
Integer register 5228:     12 -    Heatpump Model 2; Remarks: 0=0 |  1=C |  2=B
Integer register 5229:     16 -    Heatpump Model 3; Remarks: 0=0 |  1=M |  2=T
Integer register 5230:     17 -    Heatpump Model 4; Remarks: 0=0 |  1=1 |  2=2 |  3=3
Integer register 5231:      0 -    Heatpump Model 5; Remarks: 0=0 |  1=A |  2=P |  3=B
Integer register 5232:      0 -    Heatpump Model 6; Remarks: 0=0 |  1=H |  2=D |  3=B
Integer register 5235:     25 %    Aerothermal Source Min; Remarks: 
Integer register 5236:     50 %    Aerothermal Source Max; Remarks: 
Integer register 5237:      0 -    Aerothermal ASF Nominal_1; Remarks: 
Integer register 5238:     50 -    Aerothermal ASF Nominal_2; Remarks: 
Integer register 5239:      0 -    Aerothermal Defrosting by; Remarks: 0=DHW |  1=Heating |  2=Pool
Integer register 5240:     60 %    Aerothermal AFS start; Remarks: 
Integer register 5241:      1 -    Heating Connection Type; Remarks: 0=Direct |  1=Buffer |  2=Combi
Integer register 5242:      0 -    Roomterminal DG 1 Type; Remarks: 0=- |  1=Th-tune |  2=Th-T
Integer register 5243:      0 -    Roomterminal SG 2 Type; Remarks: 0=- |  1=Th-tune |  2=Th-T
Integer register 5244:      0 -    Roomterminal SG 3 Type; Remarks: 0=- |  1=Th-tune |  2=Th-T
Integer register 5245:      0 -    Roomterminal SG 4 Type; Remarks: 0=- |  1=Th-tune |  2=Th-T
Integer register 5246:      1 -    Active Cooling Connection Type; Remarks: 0=- |  1=Direct |  2=Buffer
Integer register 5247:     60 Min  Bivalent Starting Time; Remarks: 
Integer register 5248:      0 Min  Compressor start delay; Remarks: 
Integer register 5250:      0 %    SG 2 (DO7) valve; Remarks: 
Integer register 5265:      0 %    SG 3 (DO8) valve; Remarks: 
Integer register 5266:      0 %    SG 4 (DO9) valve; Remarks: 
Integer register 5269:      0 -    Factory reset; Remarks: 0=no |  1=yes
Integer register 5271:      0 -    Active Demand Zone 1; Remarks: 1=Direct heating |  2= Direct Cooling
Integer register 5272:      0 -    Active Demand Zone 2; Remarks: 1=Direct heating |  2= Direct Cooling
Integer register 5273:      0 -    Active Demand Zone 3; Remarks: 1=Direct heating |  2= Direct Cooling
Integer register 5274:      0 -    Active Demand Zone 4; Remarks: 1=Direct heating |  2= Direct Cooling
Integer register 5275:      0 -    modo 1; Remarks: 0=Blank | 1=Source
Integer register 5276:      0 -    modo 2; Remarks: 0=Blank | 1=Source | 2=Direct Cooling | 3=Cooling_via_buffer
Integer register 5277:      0 -    modo 3; Remarks: 0=Blank | 1=Time-Out | 2=balance | 3=Cycle inversion | 4=Defrost
Integer register 5278:      0 -    modo 4; Remarks: 0=Blank | 1=DHW | 2=Legionella | 3=Direct_Heating | 4=Heating_via_buffer | 5=Pool | 6=Source | 7=Floordrying
Integer register 5279:      0 -    modo 5; Remarks: 0=Blank | 1=Direct_Heating | 2=Heating_via_buffer | 3=Pool | 4=Source | 5=Legionella | 6=DHW
Integer register 5280:      0 Min  TimeOut time in minutes; Remarks: 
Integer register 5281:    146 -    Compressor number of starts L; Remarks: 
Integer register 5282:      0 -    Compressor number of starts H; Remarks: 
Integer register 5283:      1 -    Compressor starts/hour L; Remarks: 
Integer register 5284:    159 -    Compressor starts/hour H; Remarks: 
Integer register 5285:      0 -    Software version 1; Remarks: program Version = 284 +.+ 285 +.+ 286 +B
Integer register 5286:      1 -    Software version 2; Remarks: 
Integer register 5287:     10 -    Software version 3; Remarks: <10=00+ / <100=0+
Integer register 5289:      1 -    Alarms; Remarks: < 2 = no Alarms |  2= Off by Alarm |  4= Off by BUS |  5= Off by Calendar |  6= Off by remote |  7 = Off by keys |  10= Blocked by alarm |  11= NightModus |  12= Off By EVU
Integer register 5291:      0 -    Direct_koeling; Remarks: 1=On |  0=Off
Integer register 5292:      0 -    Direct_verwarming; Remarks: 1=On |  0=Off
Integer register 5293:      0 -    Air unit ASF deel 1; Remarks: 
Integer register 5294:      0 -    Air unit ASF deel 2 ; Remarks: <0 = 292.293 / >0 <10 = 292.0293 / >9 <100 = 292.293
Integer register 5295:      0 °C   Air unit DT Defrost temp; Remarks: /10
Integer register 5296:      0 %    Ground Source Ratio; Remarks: 
Integer register 5297:      0 %    Air Source Ratio; Remarks: 
Integer register 5298:      0 °C   Supply temperature Ground source; Remarks: /10
Integer register 5299:      1 -    Heatpump Language; Remarks: 2= Esp |  3=Eng |  4=Deu |  5=Fra
Coil register    1:      0 -    Alarm; Remarks: 0=- |  1=Clock Board fault or not conected
Coil register    2:      0 -    Alarm; Remarks: 0=- |  1=Extended memory fault
Coil register    3:      0 -    Alarm; Remarks: 0=- |  1=Low outdoor temp. & Low ground temp.
Coil register    7:      0 -    Alarm; Remarks: 0=- |  1=AI3 Probe failure. Compressor discharge pressure
Coil register    8:      0 -    Alarm; Remarks: 0=- |  1=AI4 Probe failure. Brine outlet temperature
Coil register    9:      0 -    Alarm; Remarks: 0=- |  1=AI5 Probe failure. Brine return temperature
Coil register   10:      0 -    Alarm; Remarks: 0=- |  1=AI6 Probe failure. Brine circuit pressure
Coil register   11:      0 -    Alarm; Remarks: 0=- |  1=AI7 Probe failure. Heating outlet temperature
Coil register   12:      0 -    Alarm; Remarks: 0=- |  1=AI8 Probe failure. Heating inlet temperature
Coil register   13:      0 -    Alarm; Remarks: 0=- |  1=AI9 Probe failure. Heating circuit pressure
Coil register   14:      1 -    Alarm; Remarks: 0=- |  1=AI10 Probe failure. Tank temperature 1 (DHW)
Coil register   15:      0 -    Alarm; Remarks: 0=- |  1=AI11 Probe failure. Outdoor temperature probe
Coil register   16:      1 -    Alarm; Remarks: 0=- |  1=AI12 Probe fault
Coil register   17:      0 -    Alarm; Remarks: 0=- |  1=Low brine inlet temperature
Coil register   18:      0 -    Alarm; Remarks: 0=- |  1=High discharge pressure
Coil register   19:      0 -    Alarm; Remarks: 0=- |  1=High discharge temperature
Coil register   20:      0 -    Alarm; Remarks: 0=- |  1=Inverter temperature
